trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-139.21045265052524,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-80.98700839372486,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",30,3,-67.50205995261814,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,0,-133.0204440033187,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-121.36831133577198,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-47.968453922197455,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-96.47182818189357,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,0,-161.33338214197812,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,0,-63.6007544907333,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,3,-48.84323584345982,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-246.5715904301404,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-86.34747449523415,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",25,0,-190.86018608249174,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-147.87601768226378,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,1,-74.30252603982821,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-187.7964305864169,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8436648165963837}",35,0,-131.84154564375527,"{0: 22, 1: 5, 2: 5, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.835270211411272}",20,0,-37.52715695229763,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8269591339433623}",30,0,-116.92749365019088,"{0: 18, 1: 2, 2: 7, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,6,-42.289717500115266,"{0: 8, 1: 3, 2: 2, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8105842459701871}",30,0,-162.92069255435393,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8025187979624785}",20,0,-53.69918238725207,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.794533602503334}",25,9,-38.21880415164998,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-163.43451959494578,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.7788007830714049}",25,0,-123.05090430326234,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,2,-150.90755483652387,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 3}",1
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,0,-67.18651486825671,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,8,6.174839913120735,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,0,-75.88442657988428,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-35.35254513112205,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",25,4,-110.03488016767382,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 2}",1
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-107.98878321123168,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",35,4,-121.11720563523522,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 2}",1
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",20,0,-10.399225221614767,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",25,11,-53.3936822341542,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.697676326071031}",35,0,-137.12086521545552,"{0: 23, 1: 5, 2: 2, 3: 4, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",25,0,-61.04117071017542,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",35,17,-83.75608156098824,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",20,0,-120.34143520755384,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-87.53718503897504,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",25,0,-74.01945230117322,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",20,8,-0.5434260823333192,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6505090947233165}",30,0,-38.349467585643175,"{0: 21, 1: 6, 2: 2, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.6440364210831414}",20,10,-12.909541356817634,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,17,-53.67681707707603,"{0: 8, 1: 1, 2: 2, 3: 2, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.631283645506926}",20,0,-17.178670107539805,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.6250022682827008}",20,0,-34.03906787385361,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.6187833918061408}",25,5,-5.462189058554747,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
