trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,8,-61.42204233740919,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.19243519316422,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-209.95014697665275,"{0: 7, 1: 1, 2: 9, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.12193998564436,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,7,-124.94750158694417,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 3}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-103.16453893456432,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.89253649727652,"{0: 14, 1: 6, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.4924188467409,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.25490150616515,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.50880114501713,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.60430073608323,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-174.74446186645696,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.3422739266486,"{0: 11, 1: 8, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.79852867978292,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.66877411413087,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,6,-39.62331199218307,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.27331399616476,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.97923390506605,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.14283821683216,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.073585153871,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.0234685968808,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.78192111436019,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-184.5076611000728,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-190.61766318450586,"{0: 15, 1: 5, 2: 6, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,3,-63.74015884666295,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",30,13,-58.00445797093479,"{0: 8, 1: 6, 2: 2, 3: 1, 4: 0}",1
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.5028334137591,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.29868424887819,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-47.71845957208704,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-91.07161248496294,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
